iter	Passed	Remaining
0	2	714
1	5	756
2	9	930
3	11	861
4	13	815
5	15	763
6	17	732
7	22	815
8	26	854
9	29	852
10	31	832
11	35	843
12	37	825
13	40	821
14	43	818
15	46	820
16	48	809
17	51	810
18	54	804
19	56	791
20	58	778
21	62	791
22	66	799
23	68	791
24	71	784
25	75	795
26	79	803
27	81	795
28	84	790
29	86	782
30	90	787
31	93	778
32	95	770
33	97	765
34	99	755
35	101	744
36	103	734
37	106	735
38	108	729
39	111	721
40	112	713
41	114	705
42	116	697
43	119	693
44	121	689
45	123	682
46	125	675
47	127	667
48	128	660
49	130	654
50	133	650
51	135	644
52	138	644
53	140	638
54	142	633
55	144	628
56	146	625
57	151	633
58	155	633
59	157	630
60	160	629
61	164	632
62	167	629
63	171	630
64	172	625
65	174	619
66	176	614
67	178	608
68	180	603
69	182	599
70	185	597
71	186	591
72	188	586
73	190	582
74	192	577
75	194	572
76	196	568
77	198	565
78	201	562
79	203	558
80	206	557
81	208	553
82	210	549
83	211	544
84	213	540
85	216	538
86	218	534
87	219	529
88	222	526
89	224	523
90	226	520
91	228	517
92	231	516
93	233	512
94	235	508
95	237	504
96	239	501
97	241	497
98	243	493
99	245	490
100	249	490
101	251	487
102	252	483
103	254	479
104	256	476
105	257	472
106	259	468
107	263	468
108	265	465
109	267	461
110	269	458
111	270	454
112	272	451
113	274	447
114	277	446
115	281	447
116	284	444
117	286	441
118	288	438
119	290	436
120	297	439
121	300	437
122	302	435
123	305	432
124	307	430
125	310	429
126	313	427
127	317	426
128	320	424
129	323	422
130	327	422
131	330	420
132	332	417
133	335	415
134	337	412
135	339	409
136	343	408
137	345	405
138	347	402
139	355	406
140	382	431
141	385	429
142	392	431
143	396	430
144	413	442
145	417	440
146	442	460
147	448	461
148	453	459
149	461	461
150	468	462
151	476	463
152	480	461
153	484	459
154	506	474
155	511	471
156	517	471
157	524	471
158	528	468
159	532	466
160	539	465
161	543	462
162	546	459
163	550	456
164	558	456
165	563	455
166	570	454
167	574	451
168	579	449
169	583	445
170	589	444
171	596	443
172	603	443
173	607	439
174	610	436
175	613	432
176	618	429
177	622	426
178	625	422
179	628	419
180	631	414
181	634	411
182	637	407
183	639	403
184	642	399
185	644	395
186	646	390
187	650	387
188	652	383
189	654	379
190	657	375
191	659	371
192	662	367
193	666	363
194	668	359
195	670	355
196	673	351
197	675	347
198	677	344
199	681	340
200	683	336
201	685	332
202	688	328
203	691	325
204	693	321
205	698	318
206	700	314
207	703	311
208	706	307
209	710	304
210	714	301
211	716	297
212	719	293
213	721	289
214	724	286
215	733	285
216	738	282
217	741	278
218	746	276
219	749	272
220	752	268
221	756	265
222	760	262
223	764	259
224	766	255
225	769	251
226	771	248
227	774	244
228	777	241
229	779	237
230	782	233
231	784	230
232	786	226
233	788	222
234	790	218
235	794	215
236	796	211
237	799	208
238	801	204
239	804	201
240	807	197
241	811	194
242	813	190
243	815	187
244	817	183
245	818	179
246	820	176
247	824	172
248	827	169
249	829	165
250	831	162
251	833	158
252	835	155
253	837	151
254	842	148
255	845	145
256	847	141
257	849	138
258	851	134
259	853	131
260	859	128
261	864	125
262	866	121
263	868	118
264	872	115
265	875	111
266	877	108
267	880	105
268	882	101
269	885	98
270	890	95
271	893	91
272	894	88
273	897	85
274	899	81
275	901	78
276	906	75
277	908	71
278	910	68
279	912	65
280	914	61
281	916	58
282	918	55
283	921	51
284	923	48
285	925	45
286	927	42
287	931	38
288	933	35
289	936	32
290	938	29
291	939	25
292	941	22
293	944	19
294	946	16
295	948	12
296	951	9
297	952	6
298	954	3
299	957	0
